Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2019,Mercedes-Benz,AMG GT C,9,153,4.5,615,"$86,881 "
2023,Mercedes-Benz,GLC 300,8,400,4,11,"$46,999 "
2017,Mercedes-Benz,AMG SLC 43 ,56,278,4.8,295,"$33,316 "
2020,Mercedes-Benz,GLB 250 ,32,12,4.7,"1,371","$32,390 "
2022,Mercedes-Benz,GLE 350  4MATIC,27,727,4.3,352,"$53,436 "
2021,Mercedes-Benz,GLE 350  4MATIC,35,534,4.3,112,"$43,497 "
2023,Mercedes-Benz,GLS 580  4MATIC,9,797,4.1,522,"$98,995 "
2020,Mercedes-Benz,C-Class C 300,41,105,4.5,344,"$28,975 "
2023,Mercedes-Benz,C-Class 4MATIC Coupe,4,508,4.7,110,"$45,999 "
2021,Mercedes-Benz,AMG GT 43 ,13,74,4.6,"1,915","$79,876 "
2018,Mercedes-Benz,G-Class,46,601,4.8,558,"$81,921 "
2021,Mercedes-Benz,AMG GLE 63  4MATIC,37,229,4.4,654,"$85,175 "
2024,Mercedes-Benz,GLE 350  4MATIC,2,287,4.8,420,"$71,998 "
2023,Mercedes-Benz,GLB 250  4MATIC,7,957,4.6,122,"$48,998 "
2018,Mercedes-Benz,AMG GT ,12,817,4.6,483,"$80,991 "
2023,Mercedes-Benz,GLB 250 ,18,139,4.9,911,"$39,843 "
2023,Mercedes-Benz,EQE 350 4MATIC,2,133,4.7,192,"$77,802 "
2023,Mercedes-Benz,E-Class E 350 4MATIC,4,138,3.9,"1,800","$57,900 "
2019,Mercedes-Benz,S-Class 4MATIC,12,205,4,526,"$74,995 "
2023,Mercedes-Benz,AMG GLA 45 ,6,348,4.2,821,"$52,000 "
2019,Mercedes-Benz,AMG SLC 43 ,23,16,4.9,"2,506","$45,712 "
2023,Mercedes-Benz,S-Class 4MATIC,5,147,4,526,"$106,777 "
2023,Mercedes-Benz,E-Class E 350 4MATIC,3,208,4.4,295,"$57,642 "
2019,Mercedes-Benz,AMG SLC 43 ,18,737,4.6,"5,510","$49,999 "
2021,Mercedes-Benz,AMG GLA 45 ,19,441,4.7,"1,424","$44,777 "
2021,Mercedes-Benz,AMG CLA 45 AMG CLA 45 4MATIC,32,76,4.5,615,"$49,881 "
2021,Mercedes-Benz,AMG GT C,16,610,4.5,775,"$126,995 "
2021,Mercedes-Benz,GLB 250 ,37,968,4.3,112,"$30,955 "
2020,Mercedes-Benz,GLC 300,47,672,4,8,"$28,990 "
2023,Mercedes-Benz,AMG GT 53 AMG GT 53,4,164,4.9,977,"$104,900 "
2023,Mercedes-Benz,E-Class E 350 4MATIC,5,314,4.4,295,"$64,443 "
2022,Mercedes-Benz,A-Class A 220 4MATIC,9,491,4.8,752,"$34,988 "
2023,Mercedes-Benz,AMG GLE 53 4MATIC,21,501,4.3,112,"$79,997 "
2022,Mercedes-Benz,GLE 350  4MATIC,19,356,4,11,"$58,997 "
2020,Mercedes-Benz,GLE 350  4MATIC,49,751,4,60,"$41,994 "
2021,Mercedes-Benz,Maybach GLS 600 4MATIC,28,862,4.8,823,"$127,500 "
2019,Mercedes-Benz,E-Class E 300,72,271,4.7,557,"$27,620 "
2024,Mercedes-Benz,C-Class C 300,1,638,4.6,348,"$44,990 "
2023,Mercedes-Benz,E-Class E 63 AMG 4MATIC,1,99,3.9,"1,800","$164,900 "
2022,Mercedes-Benz,Maybach S 580 4MATIC,6,488,4.9,"1,411","$177,595 "
2023,Mercedes-Benz,AMG G 63 4MATIC,7,77,4.7,662,"$223,414 "
2022,Mercedes-Benz,EQS 580  4MATIC,9,911,4.3,"1,491","$72,555 "
2020,Mercedes-Benz,GLC 350e  4MATIC,24,993,4.7,285,"$32,998 "
